dataset_version,queId,difficulty,qtype,problem,knowledge_point_routes
2023-07-07,6145df4ce0824a5cb58e397de57d33fd,1,short_answer,"Fred and George are playing a game. Here are the rules:  1. There are $15$ oranges placed on the table.  2. They each take turns removing oranges. In each turn, the player must remove $1$, $2$, or $3$ oranges.  3. The player who removes the last orange wins the game.  If Fred goes first, how many oranges should he take in the first turn so that he can make sure he will win the game? ",['Overseas Competition->Knowledge Point->Combinatorics->Strategies and Operations->Game Strategy']
2023-07-07,b741d2a40c624148991fcce3147038d7,2,short_answer,Jane saved~£13.  Ali saved~£5 more than 3 times as much as her.  Ali saved~£~\uline{~~~~~~~~~~}~. ,['Overseas Competition->Knowledge Point->Word Problem Modules->Applying of Multiplication and Division']
2023-07-07,7c040f8b099e47f7b0e8c01b1cc4ecfb,1,short_answer,"Cherry is choosing what to wear for a party. She is able to wear a blouse with any pair of pants or she is able to wear a dress. She then wear wear shoes or if she is wearing a dress, she can also wear heels. The choices of clothes are as followed:     \textbf{Clothes}  1) $3$ shirts  2) $2$ pair of pants  3) $3$ dresses  4) $4$ shoes  5) $2$ heels     Determine the number of combinations of clothes she is able to wear. ",['Overseas Competition->Knowledge Point->Combinatorics']
2023-07-07,f61b518525e8497db5343129a17e8632,1,short_answer,"Tom\textquotesingle s dad is $$43$$ years old, and his age is $$5$$ less then $$4$$ times the age of Tom. So what is the age of Tom? ",['Overseas Competition->Knowledge Point->Calculation Modules->Basic Concepts of Equation']
2023-07-07,50918482ad34489a9d43a8fee8182902,1,short_answer,What does $$2\times17+3\times17+5\times17=$$? ,['Overseas Competition->Knowledge Point->Calculation Modules->Fractions->Fast Calculation in Fractions->Extracting Common Factors from Fractions']
2023-07-07,865d61c08ae7439db106bc956f814d22,1,short_answer,Calculate: $$66666\times 66666$$. ,['Overseas Competition->Knowledge Point->Calculation Modules']
2023-07-07,a6f2ff602bea44d790a48701447b7788,1,short_answer,$816\div17$ ,['Overseas Competition->Knowledge Point->Calculation Modules->Whole Numbers->Whole Numbers Multiplication and Division->Division of Whole Numbers->Division out of the Multiplication Table']
2023-07-07,d8b69834edec4cabaf8b61b1c0041fa7,0,short_answer,Which is larger $$\frac{3}{20}$$ or $$0.16$$?  ~\uline{~~~~~~~~~~}~ ,"['Overseas Competition->Knowledge Point->Calculation Modules->Comparing, Ordering and Estimating->Comparing and Ordering->By Converting Fractions into Decimals']"
2023-07-07,68e2259a732c46c8abe672bceb53dfa2,1,short_answer,"Five students A, B, C, D and E line up in a row. If A wants to stand in the middle of B and C (not necessarily next to each other) how many ways are there to arrange them? ",['Overseas Competition->Knowledge Point->Counting Modules']
2023-07-07,538a2dfa1040448b8789e3db2bc69bf4,2,short_answer,"Terry made $$90$$ cupcakes. For every $$15$$ cupcakes, Terry used $$3$$ eggs.  How many eggs did he use altogether? ",['Overseas Competition->Knowledge Point->Word Problem Modules']
2023-07-07,087f11a4dea84aec80d825a39e619ea1,1,short_answer,"The spring sports meeting is coming soon, and every student in Class 1 of Grade 6 has signed up for at least one event. If there are 40 students participating in skipping rope and 31 students participating in long jump, and 21 students participating in both events, how many students are participating in only one event? ",['Overseas Competition->Knowledge Point->Counting Modules->Inclusion-Exclusion Principle->Inclusion-Exclusion Principle for Two Sets']
2023-07-07,39130411ca2f46d8be16d6a43fbef29b,1,short_answer,"One morning, Sara goes out to exercise. At $$\rm 6.30$$ a.m., Sara leaves home and jogs at a speed of $$8$$ km per hour. At $$\rm 8.30 $$ a.m., she feels a little bit tired and walks at half her jogging speed. At $$\rm 9.30$$ a.m., Sara ends her exercise. How many kilometres has Sara travelled during her exercise? ","['Overseas Competition->Knowledge Point->Distance Word Problems->Distance Word Problems on Straight Road', 'Overseas Competition->Knowledge Point->Word Problem Modules']"
2023-07-07,05b887b14c214e5085156b2107ca9318,1,short_answer,$74\times15\times8\times250=$~\uline{~~~~~~~~~~}~ ,['Overseas Competition->Knowledge Point->Calculation Modules->Whole Numbers->Whole Numbers Multiplication and Division']
2023-07-07,f945574dc9954c9b93f6e0ecf99884de,1,short_answer,"Mum\textquotesingle s purse contains an equal number of £$$5$$, £$$10$$ and £$$20$$ notes, and no coins. The total value of money in her purse is £$$280$$. How many notes are in her wallet?  Answer~\uline{~~~~~~~~~~}~ ",['Overseas Competition->Knowledge Point->Word Problem Modules->Equation Word Problems->Indefinite Equation Word Problems']
2023-07-07,fba5e5ffd4b2401fb75dcd70694a4470,1,short_answer,"A palindromic number is the same when written backwards as forwards, e.g.$$454$$ is a palindromic number. How many three-digit palindromic numbers are there in total? ",['Overseas Competition->Knowledge Point->Counting Modules->Law of Addition and Multiplication->Complex Forming Numbers->Complex Forming Numbers (with special requirements)']
2023-07-07,49c26db5eaf641e1a5d1fedde5e7be96,1,short_answer,What is the last digit of the expression below?  $$\underbrace{2\times2\times2\times\cdots\times2}_{100  ; 2s} \times \underbrace{7\times7\times7\times\cdots\times7}_{100  ; 7s} \times \underbrace{9\times9\times9\times\cdots\times9}_{100  ; 9s}$$ ,['Overseas Competition->Knowledge Point->Calculation Modules->Whole Numbers->Calculation of Multi-digit Numbers']
2023-07-07,f5367d282a3a43acbe086861a0f6d129,1,short_answer,"If $M$◆$N=M\times N+N+1$ and $M$$\square$$N=8M-N\times N$, then $(7$◆$6)$$\square$$9$ $=$~\uline{~~~~~~~~~~}~. ",['Overseas Competition->Knowledge Point->Calculation Modules->Operations with New Definition->Operating Directly']
2023-07-07,6136c35f10c146b6933727bbeae9cc0f,1,short_answer,SASMO 2014  Charles has 16 marbles. He divides them into 4 plles so that each pile has a different number of marbles. Find the smallest possible number of marbles in the biggest pile. ,['Overseas Competition->Knowledge Point->Calculation Modules']
2023-07-07,14305f680d27486a905dd8dc12e89924,3,short_answer,"If $$p$$ and $$p+107$$ are both prime numbers, find the value of $$p$$. ",['Overseas Competition->Knowledge Point->Number Theory Modules']
2023-07-07,16569fabb3364f8488579e555b7c2701,1,short_answer,"Given that $$1+\frac12+\frac13+\frac14+\frac15=\frac A{60}$$, the value of $$A$$ is~\uline{~~~~~~~~~~}~. ",['Overseas Competition->Knowledge Point->Calculation Modules->Fractions->Operations of Fractions']
2023-07-07,9e090b3df83a42eebe23be5e23c2fa04,1,short_answer,Calculate.　  $${{1}^{2}}+{{3}^{2}}+{{5}^{2}}+\ldots +{{19}^{2}}$$. ,['Overseas Competition->Knowledge Point->Calculation Modules->Operations through Formulas->1²+2²+3²+......+n²=1/6n(n+1)(n+2)']
2023-07-07,1efe483e70024fb2ab2678147636e373,2,short_answer,"92 students are going on a trip to the zoo by minibus.  If each minibus can carry 6 children, how many minibusses will be needed? ",['Overseas Competition->Knowledge Point->Number Theory Modules->Division without Remainders']
2023-07-07,9cf8631bfbee42e5855a61e09bcd4e80,0,short_answer,"Danny needs $$12$$ minutes to take the stairs from the first floor to the fourth floor at a constant speed. At this speed, how long does he need to take the stairs from the first floor to the second floor? ",['Overseas Competition->Knowledge Point->Word Problem Modules->Interval Problems']
2023-07-07,ddc124ebdf394e27ba7e0a2f7f5a5377,3,short_answer,What is the value of $$\frac{1^{2}+2^{2}}{1\times 2}+ \frac{2^{2}+3^{2}}{2 \times 3}+ \frac{3^{2}+4^{2}}{3 \times 4}+ \ldots + \frac{2007^{2}+2008^{2}}{2007 \times 2008}$$? When it is rounded to the nearest whole number? ,['Overseas Competition->Knowledge Point->Calculation Modules->Splitting Terms and Finding the General Term->Splitting Terms of Fractions']
2023-07-07,28743e9e9f164cf594fa43bdd40cccc5,1,short_answer,"In a class, the average height of the girls was $163\text{cm}$. Teacher Yun accidentally recorded one of the girls\textquotesingle{} height as $126\text{cm}$ instead of $162\text{cm}$. Therefore, the average height of the girls was inaccurately recorded as $159\text{cm}$ instead. How many girls\textquotesingle{} heights were recorded?~\uline{~~~~~~~~~~}~girls ",['Overseas Competition->Knowledge Point->Calculation Modules']
2023-07-07,d10979d095f949d99d2f66996f58a6b3,1,short_answer,Find $$24 \%$$ of $$25$$. ,"['Overseas Competition->Knowledge Point->Word Problem Modules->Solving Problems Involving Fractions and Percentages', 'Overseas Competition->Knowledge Point->Calculation Modules->Percentage Calculation']"
2023-07-07,ea6e646ea13c4df596eb009a1fcb24c6,1,short_answer,Calculate: ,['Overseas Competition->Knowledge Point->Calculation Modules->Whole Numbers->Whole Numbers Multiplication and Division']
2023-07-07,473c8349035b4eefb0b4f9931022b96c,3,short_answer,Calculate: $$1^{3}+3^{3}+5^{3}+\cdots+13^{3}$$. ,['Overseas Competition->Knowledge Point->Calculation Modules->Operations through Formulas->1³+2³+3³+......+n³=(1+2+3+......+n)²']
2023-07-07,9787f436650643b8bcdc8f3423f5efd0,1,short_answer,"Given that $$a \#b=ab-2a+4$$, evaluate $$200 \#199 \#188 \#\cdots7  \# 6  \# 5  \# 4  \# 3  \# 2  \# 1$$? ",['Overseas Competition->Knowledge Point->Calculation Modules->Operations with New Definition->Operating Directly']
2023-07-07,24dce9b709594b28a5a36bcec14da54f,1,short_answer,Calculate:$$1\frac{1}{2}\times 1\frac{1}{3}\times 1\frac{1}{4}\times 1\frac{1}{5}\times 1\frac{1}{6}\times 1\frac{1}{7}\times 1\frac{1}{8}\times 1\frac{1}{9}$$ ,['Overseas Competition->Knowledge Point->Counting Modules']
2023-07-07,c464a13a5fa84a98b5f96b4da026c8ac,1,short_answer,Ken had $$75$$ more seashells than Beth. $$\frac{4}{5}$$ of the number of seashells Beth had was equal to $$\frac{2}{5}$$ of the number of seashells Ken had. How many seashells did they have altogether?~\uline{~~~~~~~~~~}~ ,['Overseas Competition->Knowledge Point->Calculation Modules']
2023-07-07,262f4235c15a48d8867e110f1ec25448,1,short_answer,Teacher Angel has $$37$$ apples. She wants to arrange them into containers so that she can keep them neatly in the fridge. Each container can hold $$4$$ apples. What is the least number of containers teacher Angel needs to fit all the apples into the fridge? ,['Overseas Competition->Knowledge Point->Number Theory Modules->Remainder Problems->Questions involving Divisions with Remainders']
2023-07-07,a1026833d23d4e0d9b3d3b7fc72eed9b,1,short_answer,"Jamie has $3$ ribbons, which are $$56$$cm, $$42$$cm and $84$cm long respectively. He cuts them into smaller portions of equal lengths, with no remainders left from any ribbon. What is the greatest possible length of each portion? ",['Overseas Competition->Knowledge Point->Number Theory Modules']
2023-07-07,15dbd49938d249928c98f4f1fcb84fee,1,short_answer,What number is ten thousand more than $$9876543$$?  ANSWER~\uline{~~~~~~~~~~}~ ,['Overseas Competition->Knowledge Point->Calculation Modules->Whole Numbers->Read and Write numbers']
2023-07-07,24e6a79cbcf3471baf6993ecdd2917eb,3,short_answer,"David had a total of $$40$$ notes. The notes were either $$$2$$ or $$$10$$ notes. After he spent $$40$$\% of the $$$10$$ notes and $$25$$\% of the $$$2$$ notes on a gift, he had~$\tfrac{4}{5}$~as many $$$10$$ notes as $$$2$$ notes left. How much did the gift cost? ",['Overseas Competition->Knowledge Point->Word Problem Modules->Word Problems in Economics->Complex Money Word Problems']
2023-07-07,8ffc9bb3b9b14815bbbef4f710602d07,1,short_answer,"$$36$$ is a square number because it can be written $$6\times6$$.  Similarly, $$64=8\times8$$ is a square number.  $$1000$$ is a cube number because it can be written $$10\times10\times10$$  Similarly, $$343=7\times7\times7$$ is a cube number.  The French mathematician Pierre de Fermat claimed correctly that there is only one square number that is $$2$$ less than a cube number.  It is less than $$50$$.  What is it?  ANSWER~\uline{~~~~~~~~~~}~ ",['Overseas Competition->Knowledge Point->Number Theory Modules->Perfect Square Numbers->Questions involving Square Numbers']
2023-07-07,83bd57b5f2044e249a35cf1dc299b27f,1,short_answer,Mark has £ $$26$$ and Sue has half as much money as Mark.  How much money do they have together? ,['Overseas Competition->Knowledge Point->Word Problem Modules->Unitary Method Problems->Finding the Total Value using Unitary Method']
2023-07-07,9fad48b32dd54f7d8f6c57a2e1c1c739,3,short_answer,"How many different ways are there to divide $13$ oranges to $3$ kids, to make sure each of them gets at least two oranges? ",['Overseas Competition->Knowledge Point->Counting Modules->Permutations and Combinations']
2023-07-07,e889a2076f404fb8b48259549449cd54,1,short_answer,Calculate:  $1 + 2 + 3 + 4 + 5 + 6 + 7 + 7 + 8 + 9$ =~\uline{~~~~~~~~~~}~          ,['Overseas Competition->Knowledge Point->Calculation Modules->Sequences and Number Tables->Patterns in Number Sequences']
2023-07-07,48f99615d7554b569d6065aa09ad29fe,3,short_answer,"The sum of two numbers is 11.63. When adding the numbers together, Oliver accidentally shifted the decimal point in one of the numbers one position to the left. Oliver got an answer of 5.87 instead. What is one hundred times the difference between the two original numbers? ",['Overseas Competition->Knowledge Point->Calculation Modules']
2023-07-07,7902f1d486d74393bc7de12711dcb3ff,2,short_answer,"Given that  $$\left( 1+\frac{1}{2} \right)\times \left( 1+\frac{1}{{{2}^{2}}} \right)\times \left( 1+\frac{1}{{{2}^{4}}} \right)\times \left( 1+\frac{1}{{{2}^{8}}} \right)\times \cdots \times \left( 1+\frac{1}{{{2}^{{{2}^{2009}}}}} \right)$$$$=2\left( 1-\frac{1}{{{2}^{{{2}^{n}}}}} \right)$$,  find the value of $$n$$. ","['Overseas Competition->Knowledge Point->Calculation Modules->Operations through Formulas-> Difference of Two Squares Formula', 'Overseas Competition->Knowledge Point->Calculation Modules->Splitting Terms and Finding the General Term->Splitting Terms of Fractions']"
2023-07-07,249ff97ab0a04659a46ad1e415926b19,1,short_answer,Work out $$\frac{7}{8}$$ of $$32$$.  ~\uline{~~~~~~~~~~}~ ,['Overseas Competition->Knowledge Point->Calculation Modules->Fractions->Operations of Fractions->Multiplication of Fractions']
2023-07-07,97c6599317ae40c0a130a7c36adb4b0f,1,short_answer,"Bill is twice as old as his son, who is $50$ years younger than Bill's father. If the total of their ages is $142$, how old is Bill? ",['Overseas Competition->Knowledge Point->Word Problem Modules->Age Problems->Sums and Multiples in Age Problems']
2023-07-07,6c29f3b41d5a4f7889347840102cd90e,0,short_answer,$342\div6$ ,['Overseas Competition->Knowledge Point->Calculation Modules->Whole Numbers->Whole Numbers Multiplication and Division->Division of Whole Numbers->Division in Vertical Form']
2023-07-07,fc2dc1ff01c442ee8bac9a42520f29e7,2,short_answer,"In $$3$$ years' time, Sally will be $$6$$ times as old as John. Their total age now is $$50$$ years. How old is Sally now? ",['Overseas Competition->Knowledge Point->Word Problem Modules->Age Problems->Sums and Multiples in Age Problems']
2023-07-07,c1ee40d11fbd48de808886c4e3c9346a,2,short_answer,"Licia, Krisnam and Imran collected a total of $$2238$$ stamps. Licia collected three times as many stamps as Krisnam. Imran collected $$138$$ more stamps than Licia. How many stamps did Imran collect? ","['Overseas Competition->Knowledge Point->Word Problem Modules->Questions Involving Sum, Difference and Multiples->Problems Involving Sum and Difference', 'Overseas Competition->Knowledge Point->Word Problem Modules->Questions Involving Sum, Difference and Multiples->Problems of Sum and Multiple']"
2023-07-07,06973ad362db4d66ba9d6b002e663ba0,1,short_answer,"In the following, all the different letters stand for different digits. Find the $$4$$-digit number $$\overline{PASO}$$. ",['Overseas Competition->Knowledge Point->Combinatorics->Number Puzzles']
2023-07-07,80475a976f7b497ab82f076e94c1eb50,1,short_answer,A three-digit integer has remainder $1$ when it is divided by $7$ and remainder $5$ when divided by $9$. What is the smallest possible value of the number? ,['Overseas Competition->Knowledge Point->Number Theory Modules->Remainder Problems']
2023-07-07,a509801c05d046ddbb0f80cbc8f2de96,1,short_answer,"Harry and Liam had $640$mℓ of water in total. If $90$mℓ of water was transferred from Liam to Harry, Harry would have thrice the amount of water as Liam. How much water did Harry have? ",['Overseas Competition->Knowledge Point->Calculation Modules->Unit Conversion->Converting between Units of Volume and Capacity']
2023-07-07,eaa3bd18a64e40968b71f7429893a5f4,1,short_answer,Pip did $3$ maths questions on Monday. Each day he did $3$ more questions than the day before. How many questions did he solve from Monday to Sunday? ,['Overseas Competition->Knowledge Point->Calculation Modules->Sequences and Number Tables->Arithmetic Sequences']
2023-07-07,37ff6eaa86e84fce88804835c34d1857,1,short_answer,"A man can finish drinking a barrel of orange juice in $$15$$ days on his own. If he shares the barrel of orange juice with his wife, they can finish it in $$12$$ days. How many days will his wife take to finish drinking the same barrel of orange juice on her own? ",['Overseas Competition->Knowledge Point->Word Problem Modules->Solving Problems Involving Proportions->Ratio Word Problems with Invariant Sums']
2023-07-07,2168499404134fc2adf349c4200b2d1b,2,short_answer,"There are $9$ white balls, $5$ red balls and $6$ black balls in a bag. Now pick $10$ balls from the bag so that there are no less than $3$ and no more than $8$ white balls, no less than $2$ red balls and no more than $3$ black balls left in the bag. How many different ways are there to pick the balls? ",['Overseas Competition->Knowledge Point->Counting Modules']
2023-07-07,9402dca5a2494aaa90174d3dcc2b38f6,1,short_answer,$7.55+6.32+6.45-5.32=$ ,['Overseas Competition->Knowledge Point->Calculation Modules->Decimals->Addition and Subtraction of Decimals']
2023-07-07,5538dcae57d5405daf57ad4e6cbaefbe,1,short_answer,"Valeria summoned birds to help her peel some beans. They began at $$7$$ o\textquotesingle clock, and as they became more and more skilled, they peeled $$20$$ beans from $$9$$ o\textquotesingle clock to $$10$$ o\textquotesingle clock, $$28$$ beans from $$10$$ o\textquotesingle clock to $$11$$ o\textquotesingle clock, and $$36$$ beans from $$11$$ o\textquotesingle clock to $$12$$ o\textquotesingle clock. During each hour, more beans were peeled than the previous hour, and the increments were the same. How many beans did Valeria\textquotesingle s birds peel in the first hour? ",['Overseas Competition->Knowledge Point->Calculation Modules->Sequences and Number Tables->Arithmetic Sequences']
2023-07-07,de889839b5114b1296f34ad36b21626e,1,short_answer,How many three-digit numbers are there that have the sum of their digits equal to 6? ,['Overseas Competition->Knowledge Point->Calculation Modules->Splitting Terms and Finding the General Term->Splitting Terms of Whole Numbers']
2023-07-07,ef3f3f94225949a58df726e58eb69b6c,1,short_answer,$$Calculate.$$  $$77.5\times 52 \%+5.2\times 2.25$$． ,['Overseas Competition->Knowledge Point->Calculation Modules->Percentage Calculation']
2023-07-07,6cb9a183b95a46fb81d725bba4fbd059,1,short_answer,What is the remainder when $${{2}^{10}}$$ is divided by $$3$$? ,['Overseas Competition->Knowledge Point->Number Theory Modules->Division without Remainders->Applying the Properties of Dividing without Remainders->Guessing Dividends']
2023-07-07,b9d47fcf7dbb40338318bab5201d44a1,1,short_answer,"During an amorous struggle, the lady\textquotesingle s pearls broke. ~Half of the pearls fell onto the floor; a fourth rolled under a chair; a sixth fell into her lap; and three pearls remained on the strand. ~How many were there originally on the strand? ",['Overseas Competition->Knowledge Point->Calculation Modules->Fractions']
2023-07-07,bf0d9139a15044e2ba9ab0bab0208c0f,1,short_answer,An insect measures 5 cm in length. A snake measures 1 m in length. How many times smaller is the insect than the snake? ,['Overseas Competition->Knowledge Point->Word Problem Modules']
2023-07-07,89ff81f6b03f4a6eb38de4755a3e7b7a,0,short_answer,"In the sequence $1$, $3$, $7$, $13$, $21$, \ldots{} what is the largest two digit number? ",['Overseas Competition->Knowledge Point->Calculation Modules->Sequences and Number Tables->Geometric Sequences']
2023-07-07,395df03e3da54196a51c7ff3b7a39d90,1,short_answer,"The arithmetic mean of three numbers is $120$. With the fourth number added, the mean of the four numbers becomes $150$. What is the fourth number? ","['Overseas Competition->Knowledge Point->Word Problem Modules->Average Problems ->Using Formulas', 'Overseas Competition->Knowledge Point->Counting Modules->Statistics and Probability']"
2023-07-07,33e3182a110545e4aac441cab30efd1b,1,short_answer,Katie had $$2.3\text{kg}$$ of bread. She gave away $$0.76\text{kg}$$ of it to her neighbour. What is the mass of the bread that she had left? Round off your answer to $$1$$ decimal place. ,"['Overseas Competition->Knowledge Point->Calculation Modules', 'Overseas In-curriculum->Knowledge Point->Operations of Numbers ->Addition and Subtraction of Decimals->Subtraction of Decimals']"
2023-07-07,53089c6bd249446b8b0196fbb0b9703a,1,short_answer,$372\times6$ ,['Overseas Competition->Knowledge Point->Calculation Modules->Whole Numbers->Whole Numbers Multiplication and Division->Multiplication and Division of Whole Numbers->Multiplication out of the Multiplication Table']
2023-07-07,cc6e6ddc9099471392da17b986cd942e,1,short_answer,"There are three consecutive even numbers. The first number is a multiple of $$7$$, the second one is a multiple of $$8$$ and the third one is a multiple of $$9$$. What is the smallest possible sum of these three numbers? ",['Overseas Competition->Knowledge Point->Number Theory Modules->Remainder Problems->Chinese Remainder Theorem']
2023-07-07,3fa1ccdaf7494491b72d7cb7bb7823d5,1,short_answer,A basket of mangoes weighs 80 grams when full and 60 grams when half full. What is the weight of the basket when it is empty? ,['Overseas Competition->Knowledge Point->Word Problem Modules->Applying Addition and Subtraction']
2023-07-07,4d3f432b490949d3925832026d9e4a66,1,short_answer,Pip was the $${{6}^{\text{th}}}$$ in a queue counting from front to back.  Bud was the $${{6}^{\text{th}}}$$ from the end of the queue.  Counting from Pip to Bud there were $$5$$ children in the queue with Pip in front of Bud.  How many children were there in the queue? ,['Overseas Competition->Knowledge Point->Word Problem Modules->Problems Involving Queuing->Finding the Total Number According to the Position of Two Characters in a Line']
2023-07-07,cd7290c100ba4294b7ef33d6d31bec83,1,short_answer,"There is such a positive integer: if it is divided by $$5$$, the remainder is $$3$$; if it is divided by $$6$$, the remainder is $$4$$; if it is divided by $$7$$, the remainder is $$1$$. Find the least possible value of such a number. ",['Overseas Competition->Knowledge Point->Number Theory Modules->Remainder Problems->Chinese Remainder Theorem']
2023-07-07,14ae67b1d73847249fcea1dbc5eda7df,1,short_answer,"Athletes are arranged in several rows at the opening ceremony of Think Olympics. The numbers of athletes in each row form an arithmetic sequence. There are $$10$$ athletes in the first row and $$25$$ athletes in the fourth row. Given that there are $$25$$ rows in total, find the total number of athletes. ",['Overseas Competition->Knowledge Point->Word Problem Modules->Practical Application of Arithmetic Progression']
2023-07-07,d398f7f40bb64d5fb8ef87ec0477dcf5,1,short_answer,The average age of a family of six is $$29$$. The total age of the children is $$64$$. What was the average age of the parents $$3$$ years ago? ,"['Overseas Competition->Knowledge Point->Counting Modules->Statistics and Probability', 'Overseas Competition->Knowledge Point->Word Problem Modules->Age Problems->Basic Relationships in Age Problems', 'Overseas Competition->Knowledge Point->Word Problem Modules->Average Problems ->Using Formulas']"
2023-07-07,257342f894034d4f8d8102d254731724,1,short_answer,"Is Pip correct here?~ If not, please help him find the mistake．  Pip is doing some paintings. He has done $$35$$ paintings in $$5$$ days. How many more days would he need to complete $$56$$ paintings in total?  Pip\textquotesingle s answer:  $$35 \div 5 = 7 $$ paintings per day.  $$ 56 \div 7 = 8 $$ more days are needed. ",['Overseas Competition->Knowledge Point->Word Problem Modules->Unitary Method Problems']
2023-07-07,524b8c04c5894f029a0397c7af386fd8,0,short_answer,Complete the equation.  $$3+3+3+3+3+3+3+3=\square \times 3$$ ,['Overseas Competition->Knowledge Point->Calculation Modules->Whole Numbers->Whole Numbers Multiplication and Division']
2023-07-07,63e2e26e1682446aac1d93fad30b5007,1,short_answer,"Alice makes a booklet with $$18$$ pieces of paper. If a leaf is inserted once after every $$3$$ pieces of paper, how many leaves are in this book? ",['Overseas Competition->Knowledge Point->Word Problem Modules->Interval Problems']
2023-07-07,54fd381d66a4495b81ec629060372915,1,short_answer,"$4$ people are standing by a river. There is only $1$ boat, and it can only seat $2$ people at one time. The $4$ of them take $7$ minutes, $9$ minutes, $4$ minutes and $10$ minutes respectively to row the boat across the river. What is the shortest period of time they will take to cross the river? ",['Overseas Competition->Knowledge Point->Combinatorics->Fun Problems in Math->Fun Math Problems->Strategies for Crossing River Problems']
2023-07-07,dc8c93a375a54464922a54b1b49ff957,1,short_answer,The $$5^{}\text{th}$$ term of an arithmetic progression is $$8$$ and the $$12^{}\text{th}$$ term is $$50$$. What is the common difference of the arithmetic progression?~\uline{~~~~~~~~~~}~ ,['Overseas Competition->Knowledge Point->Calculation Modules']
2023-07-07,155a2124ddcf40f9b74dff87ab3c4f69,0,short_answer,What is the value of $$95\times37+95\times42+21\times95$$ ,['Overseas Competition->Knowledge Point->Counting Modules->Law of Addition and Multiplication']
2023-07-07,e4deea45600b48659f31a194ff56e172,1,short_answer,$35\times24=$~\uline{~~~~~~~~~~}~ ,['Overseas Competition->Knowledge Point->Calculation Modules->Whole Numbers->Whole Numbers Multiplication and Division']
2023-07-07,f16ba08240ad425e89f61fc8df41e78f,1,short_answer,"Here is an arithmetic progression on the blackboard:  $$2$$, $$5$$, $$8$$, $$11$$, $$14$$, $$17$$, $$\cdots$$$$242$$  Each time you erase the first three terms and write down the sum of these three terms at the at the end of the arithmetic progression. Finally the blackboard is left with only $3$ numbers. What is the second number on the blackboard? ",['Overseas Competition->Knowledge Point->Calculation Modules->Sequences and Number Tables']
